id,company,domain,industry,employees,revenue,hqcity,hqstate,hqcountry,comment
124,Ihg,Ihg.com,Finance: Consumer Services,37417,23607760,Villefranche-sur-Saône,Rhône-Alpes,France,Sample data generated on 06/16/2022
125,Comsenz,Comsenz.com,Major Pharmaceuticals,41383,,,,France,Sample data generated on 06/16/2022
128,Hc360,,Biotechnology: Biological Products (No Diagnostic Substances),29831,27770974,Villeurbanne,Rhône-Alpes,France,Sample data generated on 06/16/2022
132,Scribd,Scribd.com,n/a,8458,3010914,Cergy-Pontoise,Île-de-France,France,Sample data generated on 06/16/2022
134,Icio,Icio.com,Business Services,16956,11023404,Roblin,Manitoba,Canada,Sample data generated on 06/16/2022
135,Artisteer,Artisteer.com,n/a,41246,5340442,Cergy-Pontoise,Île-de-France,France,Sample data generated on 06/16/2022
138,State,State.com,n/a,35944,,,,Canada,Sample data generated on 06/16/2022
139,Unicef,Unicef.com,Oil & Gas Production,41342,,,,United States,Sample data generated on 06/16/2022
140,Xing,Xing.com,Telecommunications Equipment,16135,,,,Canada,Sample data generated on 06/16/2022
141,Microsoft,Microsoft.com,Oil & Gas Production,32512,,,,United States,Sample data generated on 06/16/2022
142,Ebay,Ebay.com,Electrical Products,49032,17332058,Caen,Basse-Normandie,France,Sample data generated on 06/16/2022
143,So-net,,Aerospace,20727,,,,United States,Sample data generated on 06/16/2022
145,Bigcartel,,n/a,2391,33966703,Mont-de-Marsan,Aquitaine,France,Sample data generated on 06/16/2022
147,Unblog,Unblog.com,n/a,8742,24705929,Cournon-d'Auvergne,Auvergne,France,Sample data generated on 06/16/2022
148,Netscape,Netscape.com,Major Banks,7795,14373275,Sens,Bourgogne,France,Sample data generated on 06/16/2022
149,Msu,Msu.com,n/a,22259,7403300,Seaton,England,United Kingdom,Sample data generated on 06/16/2022
154,51,,Metal Fabrications,8022,,,,France,Sample data generated on 06/16/2022
155,Reuters,,Industrial Machinery/Components,8647,,,,Canada,Sample data generated on 06/16/2022
157,Mapquest,Mapquest.com,"Computer Software: Programming, Data Processing",27468,21702305,Colorado Springs,Colorado,United States,Sample data generated on 06/16/2022
158,Usnews,Usnews.com,Property-Casualty Insurers,14484,,,,France,Sample data generated on 06/16/2022
159,Tinyurl,Tinyurl.com,Radio And Television Broadcasting And Communications Equipment,17113,,,,France,Sample data generated on 06/16/2022
160,Tripadvisor,Tripadvisor.com,Advertising,21282,,,,France,Sample data generated on 06/16/2022
162,Blogs,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,32935,,,,France,Sample data generated on 06/16/2022
164,Elpais,,Transportation Services,7094,26433485,Valenciennes,Nord-Pas-de-Calais,France,Sample data generated on 06/16/2022
166,Disqus,Disqus.com,Biotechnology: Biological Products (No Diagnostic Substances),19995,5831945,Carcassonne,Languedoc-Roussillon,France,Sample data generated on 06/16/2022
170,Wordpress,Wordpress.com,,,,,,United States,Sample data generated on 06/16/2022
173,Privacy,Privacy.com,Major Pharmaceuticals,4670,,,,France,Sample data generated on 06/16/2022
175,Bravesites,Bravesites.com,Precious Metals,17326,,,,United States,Sample data generated on 06/16/2022
176,Angelfire,,n/a,25822,25706397,Nantes,Pays de la Loire,France,Sample data generated on 06/16/2022
178,Theatlantic,,n/a,29352,20524451,Ferme-Neuve,Québec,Canada,Sample data generated on 06/16/2022
180,Un,,n/a,48625,12004527,Dayton,Ohio,United States,Sample data generated on 06/16/2022
181,Mlb,,Home Furnishings,30227,17649239,Decatur,Georgia,United States,Sample data generated on 06/16/2022
182,Joomla,Joomla.com,Major Chemicals,3068,3378768,Paris 18,Île-de-France,France,Sample data generated on 06/16/2022
184,Unc,Unc.com,Real Estate Investment Trusts,26777,14501537,Vienne,Rhône-Alpes,France,Sample data generated on 06/16/2022
185,Businessweek,Businessweek.com,Major Chemicals,24643,,,,France,Sample data generated on 06/16/2022
186,Youku,,Major Pharmaceuticals,16598,,,,United States,Sample data generated on 06/16/2022
189,Amazon,Amazon.com,n/a,2008,,,,France,Sample data generated on 06/16/2022
192,Japanpost,,,,,,,United States,Sample data generated on 06/16/2022
193,Rediff,,Major Chemicals,12775,,,,United States,Sample data generated on 06/16/2022
194,Si,Si.com,Accident &Health Insurance,10589,11360056,Marseille,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
195,T-online,,,,,,,Canada,Sample data generated on 06/16/2022
196,Surveymonkey,Surveymonkey.com,,,16683044,Montluel,Rhône-Alpes,France,Sample data generated on 06/16/2022
198,Geocities,,Property-Casualty Insurers,24355,26520040,New York City,New York,United States,Sample data generated on 06/16/2022
200,Blinklist,Blinklist.com,Television Services,7635,14807733,Clearwater,Florida,United States,Sample data generated on 06/16/2022
201,Whitehouse,Whitehouse.com,Other Consumer Services,49804,17523858,Évry,Île-de-France,France,Sample data generated on 06/16/2022
202,Homestead,Homestead.com,Building Products,42144,,,,United States,Sample data generated on 06/16/2022
203,Blogger,Blogger.com,,,30912001,Markham,Ontario,Canada,Sample data generated on 06/16/2022
204,Infoseek,Infoseek.com,,,16204104,Las Vegas,Nevada,United States,Sample data generated on 06/16/2022
205,Apache,Apache.com,Savings Institutions,24785,15619415,Chantilly,Picardie,France,Sample data generated on 06/16/2022
207,360,,Industrial Machinery/Components,17110,,,,Canada,Sample data generated on 06/16/2022
208,I2i,,Savings Institutions,34666,4083704,Richmond,Virginia,United States,Sample data generated on 06/16/2022
209,A8,A8.com,Industrial Specialties,47153,27577155,Noyelles-sous-Lens,Nord-Pas-de-Calais,France,Sample data generated on 06/16/2022
211,Washington,,Miscellaneous,19666,,,,Canada,Sample data generated on 06/16/2022
213,Alexa,,Other Specialty Stores,18203,,,,Canada,Sample data generated on 06/16/2022
214,Noaa,Noaa.com,n/a,31405,,,,France,Sample data generated on 06/16/2022
216,Chicagotribune,Chicagotribune.com,Industrial Machinery/Components,15392,19147838,Besançon,Franche-Comté,France,Sample data generated on 06/16/2022
224,Theglobeandmail,Theglobeandmail.com,Marine Transportation,36233,25431476,Saint-Julien-en-Genevois,Rhône-Alpes,France,Sample data generated on 06/16/2022
225,Dropbox,Dropbox.com,,,,,,United States,Sample data generated on 06/16/2022
228,Seattletimes,Seattletimes.com,Marine Transportation,3455,,,,Canada,Sample data generated on 06/16/2022
233,Altervista,Altervista.com,,,,,,France,Sample data generated on 06/16/2022
234,Oakley,,Major Pharmaceuticals,44106,20978628,Maple Creek,Saskatchewan,Canada,Sample data generated on 06/16/2022
237,Etsy,,n/a,41620,32498872,Chicago,Illinois,United States,Sample data generated on 06/16/2022
238,Pen,,Investment Managers,17715,22041922,Nackawic,New Brunswick,Canada,Sample data generated on 06/16/2022
239,Independent,Independent.com,Major Pharmaceuticals,12702,3319764,Mississauga,Ontario,Canada,Sample data generated on 06/16/2022
241,Trellian,,Medical Specialities,37162,,,,United States,Sample data generated on 06/16/2022
243,Yahoo,,Semiconductors,26572,18708580,Créteil,Île-de-France,France,Sample data generated on 06/16/2022
244,Addtoany,Addtoany.com,n/a,17469,13589213,Laval,Pays de la Loire,France,Sample data generated on 06/16/2022
245,Posterous,,Plastic Products,40943,32847694,Paris 14,Île-de-France,France,Sample data generated on 06/16/2022
246,Shop-pro,Shop-pro.com,,,23767113,Cincinnati,Ohio,United States,Sample data generated on 06/16/2022
248,Naver,Naver.com,Semiconductors,1717,4477890,Nantes,Pays de la Loire,France,Sample data generated on 06/16/2022
249,Taobao,Taobao.com,Major Pharmaceuticals,40154,,,,Canada,Sample data generated on 06/16/2022
253,List-manage,List-manage.com,,,13539264,Montpellier,Languedoc-Roussillon,France,Sample data generated on 06/16/2022
261,Msn,,Natural Gas Distribution,46308,26913846,London,England,United Kingdom,Sample data generated on 06/16/2022
262,Lycos,Lycos.com,,,6957688,Louisville,Kentucky,United States,Sample data generated on 06/16/2022
272,Discuz,Discuz.com,n/a,28271,,,,United States,Sample data generated on 06/16/2022
274,Cbc,Cbc.com,,,33451083,Merritt,British Columbia,Canada,Sample data generated on 06/16/2022
275,Ucla,Ucla.com,Auto Parts:O.E.M.,3568,16450785,Pittsburgh,Pennsylvania,United States,Sample data generated on 06/16/2022
281,Issuu,,,,32352204,New Orleans,Louisiana,United States,Sample data generated on 06/16/2022
283,Dell,,,,8213549,Jacksonville,Florida,United States,Sample data generated on 06/16/2022
285,Baidu,Baidu.com,n/a,25318,,,,France,Sample data generated on 06/16/2022
287,Abc,Abc.com,Industrial Machinery/Components,7546,29530272,New Haven,Connecticut,United States,Sample data generated on 06/16/2022
292,Weebly,,Restaurants,40553,,,,Canada,Sample data generated on 06/16/2022
293,Sitemeter,Sitemeter.com,Banks,23121,10334887,Mantes-la-Jolie,Île-de-France,France,Sample data generated on 06/16/2022
299,De,De.com,Real Estate Investment Trusts,36016,,,,France,Sample data generated on 06/16/2022
300,Miibeian,Miibeian.com,,,,,,France,Sample data generated on 06/16/2022
315,Tumblr,,Major Pharmaceuticals,32469,23361283,Warwick,Québec,Canada,Sample data generated on 06/16/2022
322,Vkontakte,Vkontakte.com,n/a,41299,12494732,Coaticook,Québec,Canada,Sample data generated on 06/16/2022
323,Wired,Wired.com,Semiconductors,15752,,,,United States,Sample data generated on 06/16/2022
330,Macromedia,Macromedia.com,Catalog/Specialty Distribution,28995,18870089,Brive-la-Gaillarde,Limousin,France,Sample data generated on 06/16/2022
331,Bbb,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,42232,31179877,Greenwood,Nova Scotia,Canada,Sample data generated on 06/16/2022
333,Arstechnica,Arstechnica.com,Railroads,15845,,,,Canada,Sample data generated on 06/16/2022
334,Cloudflare,,n/a,36773,,,,France,Sample data generated on 06/16/2022
335,Ftc,Ftc.com,Metal Fabrications,6324,20783754,Sophia Antipolis,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
339,Ustream,Ustream.com,Radio And Television Broadcasting And Communications Equipment,37655,19901164,Vénissieux,Rhône-Alpes,France,Sample data generated on 06/16/2022
341,Va,Va.com,Computer Communications Equipment,99,12806020,Mesquite,Texas,United States,Sample data generated on 06/16/2022
342,Nytimes,Nytimes.com,,,6913141,Heilbronn,Baden-Württemberg,Germany,Sample data generated on 06/16/2022
343,E-recht24,E-recht24.com,Hospital/Nursing Management,37369,,,,United Kingdom,Sample data generated on 06/16/2022
344,Slashdot,,Other Consumer Services,10313,31491908,Waco,Texas,United States,Sample data generated on 06/16/2022
357,Nsw,Nsw.com,,,31677136,Columbus,Ohio,United States,Sample data generated on 06/16/2022
360,Examiner,,Oil & Gas Production,23756,,,,France,Sample data generated on 06/16/2022
363,Toplist,Toplist.com,n/a,8509,,,,United States,Sample data generated on 06/16/2022
367,Columbia,,n/a,14580,7926975,Topeka,Kansas,United States,Sample data generated on 06/16/2022
369,Spiegel,,Coal Mining,47404,,,,United States,Sample data generated on 06/16/2022
371,Behance,,Integrated oil Companies,40061,,,,France,Sample data generated on 06/16/2022
373,Engadget,Engadget.com,n/a,49133,,,,United States,Sample data generated on 06/16/2022
384,Nbcnews,Nbcnews.com,,,13463998,Paris 04,Île-de-France,France,Sample data generated on 06/16/2022
389,Fotki,Fotki.com,Property-Casualty Insurers,29922,,,,France,Sample data generated on 06/16/2022
396,Mtv,Mtv.com,n/a,5312,4444749,Buffalo,New York,United States,Sample data generated on 06/16/2022
401,Odnoklassniki,,Major Banks,42213,,,,United States,Sample data generated on 06/16/2022
402,Topsy,Topsy.com,Finance Companies,32923,11408373,Amiens,Picardie,France,Sample data generated on 06/16/2022
407,Live,,Telecommunications Equipment,4960,,,,France,Sample data generated on 06/16/2022
411,Washingtonpost,,n/a,46289,19647256,Düsseldorf,Nordrhein-Westfalen,Germany,Sample data generated on 06/16/2022
416,Sbwire,,,,,,,Canada,Sample data generated on 06/16/2022
417,Goodreads,,Advertising,19063,3051150,Muskegon,Michigan,United States,Sample data generated on 06/16/2022
423,Patch,,,,18062421,Charleston,West Virginia,United States,Sample data generated on 06/16/2022
425,Hexun,,Major Pharmaceuticals,42316,4717643,Washington,District of Columbia,United States,Sample data generated on 06/16/2022
433,Cnet,Cnet.com,n/a,47399,4247805,Annecy,Rhône-Alpes,France,Sample data generated on 06/16/2022
453,Who,Who.com,Major Banks,3279,,,,France,Sample data generated on 06/16/2022
455,Booking,,n/a,3929,13225108,Chicago,Illinois,United States,Sample data generated on 06/16/2022
459,Example,,Plastic Products,22456,,,,United States,Sample data generated on 06/16/2022
460,Yellowpages,Yellowpages.com,Major Chemicals,29293,7517099,Des Moines,Iowa,United States,Sample data generated on 06/16/2022
475,Stumbleupon,Stumbleupon.com,n/a,21597,13902913,Danbury,Connecticut,United States,Sample data generated on 06/16/2022
482,Uiuc,Uiuc.com,Hotels/Resorts,27137,10920672,Paris La Défense,Île-de-France,France,Sample data generated on 06/16/2022
490,Nymag,Nymag.com,Business Services,13209,,,,Canada,Sample data generated on 06/16/2022
494,Oaic,Oaic.com,Air Freight/Delivery Services,17089,,,,Canada,Sample data generated on 06/16/2022
497,Phoca,Phoca.com,Hotels/Resorts,12049,,,,France,Sample data generated on 06/16/2022
505,Npr,Npr.com,Advertising,49808,,,,Canada,Sample data generated on 06/16/2022
506,Discovery,Discovery.com,Other Consumer Services,18139,28718358,Tarbes,Midi-Pyrénées,France,Sample data generated on 06/16/2022
514,Histats,Histats.com,Major Banks,32084,13936109,Thiais,Île-de-France,France,Sample data generated on 06/16/2022
516,Newsvine,,Business Services,47971,7387462,Louisville,Kentucky,United States,Sample data generated on 06/16/2022
517,Auda,Auda.com,Major Chemicals,13865,,,,France,Sample data generated on 06/16/2022
522,Parallels,,Business Services,21125,23970778,Amiens,Picardie,France,Sample data generated on 06/16/2022
525,Time,Time.com,Transportation Services,39128,,,,France,Sample data generated on 06/16/2022
526,Accuweather,Accuweather.com,n/a,10493,7061071,Tassin-la-Demi-Lune,Rhône-Alpes,France,Sample data generated on 06/16/2022
550,Quantcast,,Natural Gas Distribution,39929,,,,United States,Sample data generated on 06/16/2022
556,Umich,Umich.com,Water Supply,14365,,,,France,Sample data generated on 06/16/2022
563,Ifeng,,Property-Casualty Insurers,17741,17503000,Meylan,Rhône-Alpes,France,Sample data generated on 06/16/2022
565,Godaddy,Godaddy.com,n/a,27943,6073209,Waco,Texas,United States,Sample data generated on 06/16/2022
580,Bloglovin,Bloglovin.com,Coal Mining,41995,,,,France,Sample data generated on 06/16/2022
585,Hatena,Hatena.com,,,,,,France,Sample data generated on 06/16/2022
588,Paginegialle,,,,15730838,Orlando,Florida,United States,Sample data generated on 06/16/2022
591,1688,1688.com,Containers/Packaging,41256,,,,United States,Sample data generated on 06/16/2022
597,Java,Java.com,Industrial Machinery/Components,15872,,,,United States,Sample data generated on 06/16/2022
601,G,G.com,,,,,,Canada,Sample data generated on 06/16/2022
604,Cyberchimps,,,,9312054,Quimper,Bretagne,France,Sample data generated on 06/16/2022
621,Shinystat,,Major Banks,39484,3569053,Vichy,Auvergne,France,Sample data generated on 06/16/2022
630,Ucsd,,n/a,26090,6231015,Wilmington,Delaware,United States,Sample data generated on 06/16/2022
641,Craigslist,Craigslist.com,Metal Fabrications,23889,10385523,Barrie,Ontario,Canada,Sample data generated on 06/16/2022
643,Biblegateway,Biblegateway.com,Electronic Components,38156,,,,United States,Sample data generated on 06/16/2022
665,Opera,,Trucking Freight/Courier Services,11580,,,,France,Sample data generated on 06/16/2022
674,Flickr,,n/a,25463,31667903,Vesoul,Franche-Comté,France,Sample data generated on 06/16/2022
686,Usa,,n/a,4972,,,,France,Sample data generated on 06/16/2022
703,Flavors,Flavors.com,,,10135389,Mirecourt,Lorraine,France,Sample data generated on 06/16/2022
713,Nasa,Nasa.com,n/a,405,,,,Canada,Sample data generated on 06/16/2022
722,Slate,Slate.com,Real Estate Investment Trusts,33823,,,,Canada,Sample data generated on 06/16/2022
731,Mac,Mac.com,Business Services,4854,33895694,Montbrison,Rhône-Alpes,France,Sample data generated on 06/16/2022
760,Cargocollective,,Major Pharmaceuticals,42796,,,,Canada,Sample data generated on 06/16/2022
777,Cdbaby,,Hospital/Nursing Management,44650,,,,France,Sample data generated on 06/16/2022
797,W3,,Major Pharmaceuticals,17947,3403039,Nantes,Pays de la Loire,France,Sample data generated on 06/16/2022
840,Buzzfeed,,Telecommunications Equipment,46319,14473049,Martigues,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
843,Networksolutions,Networksolutions.com,Movies/Entertainment,7222,15272765,Nantes,Pays de la Loire,France,Sample data generated on 06/16/2022
876,Guardian,Guardian.com,n/a,31301,9637301,Calmar,Alberta,Canada,Sample data generated on 06/16/2022
887,Shutterfly,,Apparel,33754,,,,Canada,Sample data generated on 06/16/2022
903,Chron,Chron.com,Diversified Commercial Services,9567,21102945,Atlanta,Georgia,United States,Sample data generated on 06/16/2022
925,Illinois,Illinois.com,Marine Transportation,16471,24946930,Kamloops,British Columbia,Canada,Sample data generated on 06/16/2022
967,Intel,,Computer peripheral equipment,9389,8345584,Orléans,Centre,France,Sample data generated on 06/16/2022
970,Wix,Wix.com,n/a,6166,,,,France,Sample data generated on 06/16/2022
989,Vimeo,Vimeo.com,Investment Bankers/Brokers/Service,9293,12527650,München,Bayern,Germany,Sample data generated on 06/16/2022
